Survived,Pclass,SibSp,Parch,HasCabin,CatAge,CatFare,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Unique
0.0,3,1,0,False,0,0,True,False,True,False,True,False,False
1.0,1,1,0,True,3,3,False,False,False,False,False,True,False
1.0,3,0,0,False,1,1,False,False,True,True,False,False,False
1.0,1,1,0,True,2,3,False,False,True,False,False,True,False
0.0,3,0,0,False,2,1,True,False,True,False,True,False,False
0.0,3,0,0,False,1,1,True,True,False,False,True,False,False
0.0,1,0,0,True,3,3,True,False,True,False,True,False,False
0.0,3,3,1,False,0,2,True,False,True,False,False,False,False
1.0,3,0,2,False,1,1,False,False,True,False,False,True,False
1.0,2,1,0,False,0,2,False,False,False,False,False,True,False
1.0,3,1,1,True,0,2,False,False,True,True,False,False,False
1.0,1,0,0,True,3,2,False,False,True,True,False,False,False
0.0,3,0,0,False,0,1,True,False,True,False,True,False,False
0.0,3,1,5,False,3,2,True,False,True,False,True,False,False
0.0,3,0,0,False,0,0,False,False,True,True,False,False,False
1.0,2,0,0,False,3,2,False,False,True,False,False,True,False
0.0,3,4,1,False,0,2,True,True,False,False,False,False,False
1.0,2,0,0,False,1,1,True,False,True,False,True,False,False
0.0,3,1,0,False,2,2,False,False,True,False,False,True,False
1.0,3,0,0,False,1,0,False,False,False,False,False,True,False
0.0,2,0,0,False,2,2,True,False,True,False,True,False,False
1.0,2,0,0,True,2,1,True,False,True,False,True,False,False
1.0,3,0,0,False,0,1,False,True,False,True,False,False,False
1.0,1,0,0,True,1,3,True,False,True,False,True,False,False
0.0,3,3,1,False,0,2,False,False,True,True,False,False,False
1.0,3,1,5,False,3,3,False,False,True,False,False,True,False
0.0,3,0,0,False,1,0,True,False,False,False,True,False,False
0.0,1,3,2,True,0,3,True,False,True,False,True,False,False
1.0,3,0,0,False,1,0,False,True,False,True,False,False,False
0.0,3,0,0,False,1,0,True,False,True,False,True,False,False
0.0,1,0,0,False,3,2,True,False,False,False,False,False,True
1.0,1,1,0,True,1,3,False,False,False,False,False,True,False
1.0,3,0,0,False,1,0,False,True,False,True,False,False,False
0.0,2,0,0,False,3,1,True,False,True,False,True,False,False
0.0,1,1,0,False,1,3,True,False,False,False,True,False,False
0.0,1,1,0,False,3,3,True,False,True,False,True,False,False
1.0,3,0,0,False,1,0,True,False,False,False,True,False,False
0.0,3,0,0,False,0,1,True,False,True,False,True,False,False
0.0,3,2,0,False,0,2,False,False,True,True,False,False,False
1.0,3,1,0,False,0,1,False,False,False,True,False,False,False
0.0,3,1,0,False,3,1,False,False,True,False,False,True,False
0.0,2,1,0,False,1,2,False,False,True,False,False,True,False
0.0,3,0,0,False,1,0,True,False,False,False,True,False,False
1.0,2,1,2,False,0,3,False,False,False,True,False,False,False
1.0,3,0,0,False,0,0,False,True,False,True,False,False,False
0.0,3,0,0,False,1,1,True,False,True,False,True,False,False
0.0,3,1,0,False,1,2,True,True,False,False,True,False,False
1.0,3,0,0,False,1,0,False,True,False,True,False,False,False
0.0,3,2,0,False,1,2,True,False,False,False,True,False,False
0.0,3,1,0,False,0,2,False,False,True,False,False,True,False
0.0,3,4,1,False,0,3,True,False,True,False,False,False,False
0.0,3,0,0,False,0,0,True,False,True,False,True,False,False
1.0,1,1,0,True,3,3,False,False,False,False,False,True,False
1.0,2,1,0,False,2,2,False,False,True,False,False,True,False
0.0,1,0,1,True,3,3,True,False,False,False,True,False,False
1.0,1,0,0,True,1,3,True,False,True,False,True,False,False
1.0,2,0,0,False,0,1,False,False,True,True,False,False,False
0.0,3,0,0,False,2,0,True,False,False,False,True,False,False
1.0,2,1,2,False,0,2,False,False,True,True,False,False,False
0.0,3,5,2,False,0,3,True,False,True,False,False,False,False
0.0,3,0,0,False,0,0,True,False,False,False,True,False,False
1.0,1,0,0,True,3,3,False,False,True,True,False,False,False
0.0,1,1,0,True,3,3,True,False,True,False,True,False,False
0.0,3,3,2,False,0,2,True,False,True,False,False,False,False
0.0,1,0,0,False,1,2,True,False,False,False,True,False,False
1.0,3,1,1,False,1,2,True,False,False,False,False,False,False
1.0,2,0,0,True,2,1,False,False,True,False,False,True,False
0.0,3,0,0,False,0,1,True,False,True,False,True,False,False
1.0,3,4,2,False,0,1,False,False,True,True,False,False,False
0.0,3,2,0,False,1,1,True,False,True,False,True,False,False
0.0,2,0,0,False,2,1,True,False,True,False,True,False,False
0.0,3,5,2,False,0,3,False,False,True,True,False,False,False
0.0,2,0,0,False,0,3,True,False,True,False,True,False,False
0.0,3,1,0,False,1,1,True,False,False,False,True,False,False
1.0,3,0,0,False,2,3,True,False,True,False,True,False,False
0.0,3,0,0,True,1,0,True,False,True,False,True,False,False
0.0,3,0,0,False,1,0,True,False,True,False,True,False,False
0.0,3,0,0,False,1,1,True,False,True,False,True,False,False
1.0,2,0,2,False,0,2,True,False,True,False,False,False,False
1.0,3,0,0,False,2,1,False,False,True,True,False,False,False
0.0,3,0,0,False,0,1,True,False,True,False,True,False,False
1.0,3,0,0,False,2,1,True,False,True,False,True,False,False
1.0,3,0,0,False,1,0,False,True,False,True,False,False,False
0.0,1,0,0,False,1,3,True,False,True,False,True,False,False
1.0,2,0,0,False,0,1,False,False,True,True,False,False,False
1.0,3,3,0,False,2,2,False,False,True,False,False,True,False
0.0,3,1,3,False,0,3,True,False,True,False,True,False,False
0.0,3,0,0,False,1,1,True,False,True,False,True,False,False
1.0,1,3,2,True,1,3,False,False,True,True,False,False,False
0.0,3,0,0,False,1,1,True,False,True,False,True,False,False
0.0,3,0,0,False,2,1,True,False,True,False,True,False,False
0.0,3,0,0,False,0,0,True,False,True,False,True,False,False
0.0,1,1,0,True,3,3,True,False,True,False,True,False,False
0.0,3,1,2,False,1,2,True,False,True,False,True,False,False
0.0,3,0,0,False,3,0,True,False,True,False,True,False,False
0.0,3,0,0,False,1,1,True,False,True,False,True,False,False
0.0,1,0,0,True,3,3,True,False,False,False,True,False,False
1.0,1,0,1,True,1,3,True,False,False,False,True,False,False
1.0,2,0,1,False,2,2,False,False,True,False,False,True,False
0.0,2,1,0,False,2,2,True,False,True,False,True,False,False
